City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yellowknife,CA,2021-01-31 01:41:44,62.456,-114.3525,-11.99,77,20,3.44
1,Rocha,UY,2021-01-31 01:41:44,-34.4833,-54.3333,65.26,89,100,14.94
2,Marzuq,YE,2021-01-31 01:38:35,14.4,46.4667,57.04,61,0,2.8
3,Port Alfred,ZA,2021-01-31 01:41:45,-33.5906,26.891,63.0,92,0,1.97
4,Tebingtinggi,ID,2021-01-31 01:41:45,3.3285,99.1625,77.0,100,40,3.44
5,Hobart,AU,2021-01-31 01:37:21,-42.8794,147.3294,75.0,45,40,11.5
6,Beringovskiy,RU,2021-01-31 01:41:46,63.05,179.3167,6.33,94,100,30.67
7,Atuona,PF,2021-01-31 01:41:46,-9.8,-139.0333,79.07,75,44,17.13
8,Buraydah,SA,2021-01-31 01:41:51,26.326,43.975,46.4,76,0,5.75
9,Ushuaia,AR,2021-01-31 01:41:51,-54.8,-68.3,50.0,66,20,24.16
10,Punta Arenas,CL,2021-01-31 01:37:57,-53.15,-70.9167,50.0,66,0,12.66
11,Hasaki,JP,2021-01-31 01:41:51,35.7333,140.8333,46.4,46,20,11.5
12,Mar Del Plata,AR,2021-01-31 01:41:51,-38.0023,-57.5575,62.6,55,75,20.71
13,Bambous Virieux,MU,2021-01-31 01:41:51,-20.3428,57.7575,78.8,83,40,6.91
14,Banbury,GB,2021-01-31 01:41:51,52.0602,-1.3403,32.0,90,28,1.99
15,Luena,AO,2021-01-31 01:41:52,-11.7833,19.9167,62.85,95,99,4.34
16,Tuktoyaktuk,CA,2021-01-31 01:41:52,69.4541,-133.0374,-36.4,74,40,5.75
17,Yar-Sale,RU,2021-01-31 01:41:52,66.8333,70.8333,-17.25,87,100,18.23
18,Jamestown,US,2021-01-31 01:36:54,42.097,-79.2353,17.6,79,1,3.85
19,Hermanus,ZA,2021-01-31 01:41:52,-34.4187,19.2345,64.99,86,1,9.31
20,Talnakh,RU,2021-01-31 01:41:52,69.4865,88.3972,-31.25,71,0,7.18
21,Alyangula,AU,2021-01-31 01:41:52,-13.8483,136.4192,87.8,70,54,9.22
22,Ca Mau,VN,2021-01-31 01:41:03,9.1769,105.15,82.02,60,61,11.95
23,Albany,US,2021-01-31 01:40:38,42.6001,-73.9662,16.0,78,6,4.0
24,Norman Wells,CA,2021-01-31 01:41:53,65.282,-126.8329,-31.0,75,75,4.09
25,Bluff,NZ,2021-01-31 01:41:53,-46.6,168.3333,58.39,69,96,10.42
26,Port Macquarie,AU,2021-01-31 01:38:02,-31.4333,152.9167,80.6,74,90,10.18
27,Souillac,MU,2021-01-31 01:41:20,-20.5167,57.5167,78.8,83,40,6.91
28,Salta,AR,2021-01-31 01:41:53,-24.7859,-65.4117,71.6,73,90,5.75
29,Mataura,NZ,2021-01-31 01:41:54,-46.1927,168.8643,73.15,34,100,3.51
30,Ambatolampy,MG,2021-01-31 01:41:54,-19.3833,47.4167,64.4,94,40,2.3
31,Chuy,UY,2021-01-31 01:40:27,-33.6971,-53.4616,68.72,93,100,15.5
32,Harindanga,IN,2021-01-31 01:41:56,22.0383,88.3214,53.6,87,0,6.29
33,Yumen,CN,2021-01-31 01:41:57,40.2833,97.2,23.88,70,0,22.64
34,Pasighat,IN,2021-01-31 01:37:17,28.0667,95.3333,59.79,46,0,1.41
35,Rikitea,PF,2021-01-31 01:41:57,-23.1203,-134.9692,79.5,70,0,11.32
36,Vila Franca Do Campo,PT,2021-01-31 01:41:57,37.7167,-25.4333,63.0,88,75,16.11
37,Vaini,TO,2021-01-31 01:41:58,-21.2,-175.2,86.0,79,75,13.8
38,Bijar,IR,2021-01-31 01:41:58,35.8668,47.6051,22.8,94,3,8.86
39,Potosi,BO,2021-01-31 01:39:40,-19.5836,-65.7531,51.67,62,82,3.09
40,Kodiak,US,2021-01-31 01:41:58,57.79,-152.4072,32.0,55,1,19.57
41,Dinajpur,BD,2021-01-31 01:41:58,25.6272,88.6386,52.47,50,0,3.78
42,Constitucion,CL,2021-01-31 01:41:59,-35.3333,-72.4167,59.31,93,28,8.03
43,Butaritari,KI,2021-01-31 01:41:16,3.0707,172.7902,81.21,79,62,18.5
44,Shieli,KZ,2021-01-31 01:41:59,44.1667,66.75,35.29,80,4,2.51
45,Kapaa,US,2021-01-31 01:41:23,22.0752,-159.319,77.0,69,75,14.97
46,Arraial Do Cabo,BR,2021-01-31 01:41:59,-22.9661,-42.0278,76.82,83,0,26.04
47,Avarua,CK,2021-01-31 01:41:22,-21.2078,-159.775,84.2,70,75,6.91
48,Toora-Khem,RU,2021-01-31 01:41:59,52.4675,96.11,-15.48,85,72,2.82
49,La Ronge,CA,2021-01-31 01:42:00,55.1001,-105.2842,12.2,85,3,2.3
50,Upernavik,GL,2021-01-31 01:42:00,72.7868,-56.1549,-9.56,86,83,6.85
51,Ribeira Grande,PT,2021-01-31 01:42:00,38.5167,-28.7,63.07,92,97,20.33
52,Semirom,IR,2021-01-31 01:42:00,31.4167,51.5667,19.9,92,21,4.12
53,Isangel,VU,2021-01-31 01:42:00,-19.55,169.2667,84.2,74,75,11.5
54,Adrar,MR,2021-01-31 01:42:00,20.5022,-10.0711,64.58,26,55,6.87
55,Muroto,JP,2021-01-31 01:42:00,33.2833,134.15,46.4,61,40,3.44
56,Aklavik,CA,2021-01-31 01:42:01,68.2191,-135.0107,-29.2,75,100,2.3
57,Itupiranga,BR,2021-01-31 01:42:01,-5.1347,-49.3267,73.87,94,100,4.03
58,Bilma,NE,2021-01-31 01:42:01,18.6853,12.9164,57.52,32,0,3.87
59,Nome,US,2021-01-31 01:42:02,64.5011,-165.4064,-5.8,71,1,5.75
60,Port Elizabeth,ZA,2021-01-31 01:42:02,-33.918,25.5701,62.6,88,0,6.91
61,Abha,SA,2021-01-31 01:42:02,18.2164,42.5053,53.6,66,0,4.61
62,Houma,US,2021-01-31 01:40:01,29.5958,-90.7195,66.99,82,90,6.91
63,Brae,GB,2021-01-31 01:42:03,60.3964,-1.353,33.8,93,40,4.61
64,Busselton,AU,2021-01-31 01:42:03,-33.65,115.3333,82.0,47,0,5.19
65,Maldonado,UY,2021-01-31 01:42:03,-34.6667,-54.9167,68.0,77,75,19.57
66,Dalvik,IS,2021-01-31 01:42:05,65.9702,-18.5286,14.0,79,90,4.61
67,Nazca,PE,2021-01-31 01:42:05,-14.8333,-74.95,74.37,50,100,3.74
